Unnamed: 0,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
56,outside,power,2017,TV,Africa's Great Civil...,"other. It in fact allowed The king of kongo. To connect with An outside power. It wasn't a local power, it was An outside power which","other. It in fact allowed The king of kongo. To connect with An outside power. It wasn't a local power, it was An outside power which",c8f552f7166011303ad3d0e52648e7a3
57,outside,power,2017,TV,Africa's Great Civil...,"with An outside power. It wasn't a local power, it was An outside power which, in fact, Meant that kongo became Part of what was emerging","with An outside power. It wasn't a local power, it was An outside power which, in fact, Meant that kongo became Part of what was emerging",3ac1b43f616813a5726d33403d0f3f12
58,outside,power,2016,SPOK,PBS_Newshour,But they also play a role in Iraq's efforts to emerge as the dominant outside power in Iraq and to kind of supplant the U.S. in this role. We,But they also play a role in Iraq's efforts to emerge as the dominant outside power in Iraq and to kind of supplant the U.S. in this role. We,2cfce7585146d728822327133f3b0558
59,outside,power,2016,MAG,Daily Beast,"waves of Iraqi leaders who are increasingly seen as little more than factotums of interfering outside powers, namely the United States or Iran. U.S. policy has been single-mindedly wedded","waves of Iraqi leaders who are increasingly seen as little more than factotums of interfering outside powers, namely the United States or Iran. U.S. policy has been single-mindedly wedded",3300e47cddfeec55fd5c3d6985ad4a01
60,outside,power,2015,MAG,NatGeog,"He had the tired half smile of a man who thought in millennia. "" Outside powers still fight over this area -- the Mesopotamian plain. It is the meeting","He had the tired half smile of a man who thought in millennia. "" Outside powers still fight over this area -- the Mesopotamian plain. It is the meeting",366d8ce38abc3ba18561bdd3070f1d97
61,outside,power,2015,MAG,PopMech,the weight's motion and further amplifying its damping effect. No active control or outside power source is necessary. The magnetic fip occurs because of a version of Newton,the weight's motion and further amplifying its damping effect. No active control or outside power source is necessary. The magnetic fip occurs because of a version of Newton,7cb40836f2adff77b6857d4b1bc2e629
62,outside,power,2015,MAG,PopScience,"to the treatment plant and get clean water, and you wouldn't need any outside power. "" # Daniel Bond at the University of Min- nesota is exploring the","to the treatment plant and get clean water, and you wouldn't need any outside power. "" # Daniel Bond at the University of Min- nesota is exploring the",8244168d0c28901cd04fb671aeace9e9
63,outside,power,2015,MAG,USAToday,", but we are still, I think without any question, the most influential outside power. "" # Calling the U.S. "" largely reactive, "" and a """,", but we are still, I think without any question, the most influential outside power. "" # Calling the U.S. "" largely reactive, "" and a """,2e018540d096c1f5ab6dfe205022780b
64,outside,power,2015,NEWS,NYTimes,"to come to an agreement of their own. "" He needs the help of outside powers, "" he said. "" It starts with backers of Assad. That","to come to an agreement of their own. "" He needs the help of outside powers, "" he said. "" It starts with backers of Assad. That",38e37849ed8d95c954a28066f85c8e2c
65,outside,power,2015,ACAD,WorldAffairs,"and continuing with his Munich speech in 2007, Putin has hyped the threat of outside powers. Russia's 2010 Military Doctrine cites NATO enlargement as the greatest military danger","and continuing with his Munich speech in 2007, Putin has hyped the threat of outside powers. Russia's 2010 Military Doctrine cites NATO enlargement as the greatest military danger",afe0a8bcf21a6c5494ccc33936d2b642
66,outside,power,2015,MOV,Requiem for the American Dream,"course, he puts it in terms of defense, "" defending ourselves against an outside power. "" But if you look at it, it's a call for","course, he puts it in terms of defense, "" defending ourselves against an outside power. "" But if you look at it, it's a call for",118ac7cc5185921c975f6ca680f7e011
67,outside,power,2014,SPOK,ABC: This Week,"need to support your friends. They can win your enemies by being supported by outside powers, which is the case in both Ukraine and Syria. Syria was also","need to support your friends. They can win your enemies by being supported by outside powers, which is the case in both Ukraine and Syria. Syria was also",e3551f0902f3be8a43a65768a71027e9
68,outside,power,2014,MAG,America,""" good neighbor "" policies--trade and cultural deals--seemed designed to diminish Asean's ties to outside powers, but in fact its territorial claims seem to reinforce the perception in South",""" good neighbor "" policies--trade and cultural deals--seemed designed to diminish Asean's ties to outside powers, but in fact its territorial claims seem to reinforce the perception in South",966eea90d2f377e96095161186704df7
69,outside,power,2014,ACAD,PolSciQuarterly,", the behaviors are often intertwined with the shifting self-images of Taiwan in relation to outside powers and the intense tug-of-war between domestic forces taking interest in these self-images. In",", the behaviors are often intertwined with the shifting self-images of Taiwan in relation to outside powers and the intense tug-of-war between domestic forces taking interest in these self-images. In",b6150a9da906266233f4b8410d444b7f
