name,type,isFromLanguage,label,hasLemma
LexicalUnit_6205,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['executive.n'],['executive.n']
LexicalUnit_4803,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['brainiac.n'],['brainiac.n']
LexicalUnit_3606,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['fluffy.a'],['fluffy.a']
LexicalUnit_2491,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['dispense.v'],['dispense.v']
LexicalUnit_178,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['accumulate.v'],['accumulate.v']
LexicalUnit_7876,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['cave.n'],['cave.n']
LexicalUnit_4677,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['epidemic.n'],['epidemic.n']
LexicalUnit_4887,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['exterminate.v'],['exterminate.v']
LexicalUnit_3980,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['govern.n'],['govern.n']
LexicalUnit_199,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['ire.n'],['ire.n']
LexicalUnit_164,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['moonshine.n'],['moonshine.n']
LexicalUnit_4284,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['poison-pill.n'],['poison-pill.n']
LexicalUnit_3257,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['exhilaration.n'],['exhilaration.n']
LexicalUnit_7822,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['stockholder.n'],['stockholder.n']
LexicalUnit_2034,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['creation.n'],['creation.n']
LexicalUnit_3219,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['fiendish.a'],['fiendish.a']
LexicalUnit_3053,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['US EPA.n'],['US EPA.n']
LexicalUnit_4917,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['haze.n'],['haze.n']
LexicalUnit_796,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['within.prep'],['within.prep']
LexicalUnit_5146,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['thrive.v'],['thrive.v']
LexicalUnit_4801,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['smarts.n'],['smarts.n']
LexicalUnit_5034,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['legislative.a agenda.n'],['legislative.a agenda.n']
LexicalUnit_5203,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['sensual.a'],['sensual.a']
LexicalUnit_1144,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['tack.v'],['tack.v']
LexicalUnit_3591,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['flooded.a'],['flooded.a']
LexicalUnit_78,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['ladder.n'],['ladder.n']
LexicalUnit_795,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['sphere.n'],['sphere.n']
LexicalUnit_7032,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['flow.v out'],['flow.v out']
LexicalUnit_8822,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['underwater.adj'],['underwater.adj']
LexicalUnit_958,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['cancerous.a'],['cancerous.a']
LexicalUnit_6914,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['quicksand.n'],['quicksand.n']
LexicalUnit_6665,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['leaves.n'],['leaves.n']
LexicalUnit_8345,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['castoff.n'],['castoff.n']
LexicalUnit_1576,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['garb.n'],['garb.n']
LexicalUnit_4998,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['chaperone.n'],['chaperone.n']
LexicalUnit_3971,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['vale.n'],['vale.n']
LexicalUnit_2386,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['devastation.n'],['devastation.n']
LexicalUnit_1940,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['infectivity.a'],['infectivity.a']
LexicalUnit_3966,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['hill.n'],['hill.n']
LexicalUnit_3172,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['sustainability.n'],['sustainability.n']
LexicalUnit_799,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['delimited.a'],['delimited.a']
