name,hasBoundRole2,type,label,hasBoundRole1
Binding_6,['Role_Frame_Access_accessed_entity'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Access to an object.accessed_object=Access.accessed_entity'],['Role_Frame_Access_to_an_object_accessed_object']
Binding_488,['Role_Frame_Causation_cause'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Harm.harmful_process=Causation.cause'],['Role_Frame_Harm_harmful_process']
Binding_661,['Role_Frame_Evaluation_evaluee'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Negatively evaluated condition.condition=Evaluation.evaluee'],['Role_Frame_Negatively_evaluated_condition_condition']
Binding_192,['Role_Frame_Control_second_process'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Control.dependent_process=second_process'],['Role_Frame_Control_dependent_process']
Binding_870,['Role_Frame_Trajector_landmark_trajector'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Size.entity_size=Trajector landmark.trajector'],['Role_Frame_Size_entity_size']
Binding_697,['Role_Frame_Purposeful_action_action_x_schema'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Person.actions=Purposeful action.action_x-schema'],['Role_Frame_Person_actions']
Binding_250,['Role_Frame_Caused_change_of_state_affected'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Dissect.dissected_entity=Caused change of state.affected'],['Role_Frame_Dissect_dissected_entity']
Binding_863,['Role_Frame_Work_scenario_objective'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Shepherding.objective=Work scenario.objective'],['Role_Frame_Shepherding_objective']
Binding_638,['Role_Frame_Motion_direction'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Motion along a path.direction=Motion.direction'],['Role_Frame_Motion_along_a_path_direction']
Binding_841,['Role_Frame_Change_of_state_standard'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Self-initiated state change.value_standard=Change of state.standard'],['Role_Frame_Self_initiated_state_change_value_standard']
Binding_81,['Role_Frame_Process_process'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Being at a location.x-schema=Process.process'],['Role_Frame_Being_at_a_location_x_schema']
