source,target,index,year,genre,source,,,,text,,,,,,,,,,,,,,,,,target,count
burn,curiosity,4,2012,FIC,Bk:BackBloodNovel,,,,his legs and was descending hand over hand down the jib line. He began burning with curiosity and an apprehension he avoided giving a name and a hopeMagdalena! Once,,,,,,,,,,,,,,,,,,
burn,curiosity,5,2005,FIC,FantasySciFi,,,,"My attention, however, was on the girl at the back. I was burning with curiosity. She was obviously connecting to the Library, but to what extent",,,,,,,,,,,,,,,,,,
burn,curiosity,6,2004,FIC,BkJuv:AlicesAdventures,,,,"with either a waistcoat-pocket or a watch to take out of it, and, burning with curiosity, she ran across the field after it, and was just in",,,,,,,,,,,,,,,,,,
burn,curiosity,7,1990,FIC,Bk:WorldlyWidow,,,,"over the other, and made a steeple with his fingers. "" I'm burning with curiosity, "" he told her. "" Sit down and explain it to",,,,,,,,,,,,,,,,,,
burn,envy,4,2003,FIC,LiteraryRev,,,,"alternate, and eventually made the team because Adam Shultz got mono. # I burned with envy for the entire month of August, and while they practiced each morning",,,,,,,,,,,,,,,,,,
burn,envy,6,1998,FIC,NewEnglandRev,,,,"It's Santa Maria in Trastevere. "" Everyone paused to listen. The Frangipani burned with envy. Iyar, the month they dedicated the bell, ended with a",,,,,,,,,,,,,,,,,,
burn,envy,7,1991,FIC,Bk:Firm,,,,at the new French colonial with two new cars in the garage. They would burn with envy and wonder how the poor kid with no family and no status could,,,,,,,,,,,,,,,,,,
burn,humiliation,1,2012,FIC,Bk:IfSlipperFits,,,,"align themselves with her for fear of being ridiculed, too. # Her cheeks burned with humiliation. It took an effort to harness the impulse to lash out in",,,,,,,,,,,,,,,,,,
burn,humiliation,2,2012,FIC,Bk:QueensHunt,,,,"You need not stutter. The entire world knows. "" # Gerek's cheeks burned with humiliation. For once, anger kept his tongue under control. "" What",,,,,,,,,,,,,,,,,,
burn,humiliation,4,2010,FIC,Bk:HopefulHeartNovel,,,,"their laughter boisterous. Tressa staggered over to retrieve her abandoned bag, her face burning with humiliation as the men continued to hurl insults. Mrs. Wyatt assisted Luella to",,,,,,,,,,,,,,,,,,
burn,humiliation,5,2002,FIC,Ploughshares,,,,". "" Thank you. "" # "" Pozhaluista. "" # Anton's face burned with humiliation, and he blinked his eyes against the insult of this woman's",,,,,,,,,,,,,,,,,,
burn,humiliation,6,1991,FIC,Bk:TreasureSun,,,,"woman. "" "" You've already seen how poorly I encourage. "" She burned with humiliation as she remembered her performance before the mirror. She couldn't see",,,,,,,,,,,,,,,,,,
burn,humiliation,7,1991,FIC,Bk:TreasureSun,,,,"at her shocked, indignant face called forth a bark of his laughter. She burned with humiliation. "" You dare to call me stupid? You -- a man",,,,,,,,,,,,,,,,,,
burn,jealousy,1,2015,FIC,Bk:SleepingKing,,,,"ill with envy. He could swear the green serpent tattoo on his forehead actually burned with jealousy. # "" Come closer, Constantine. "" The resonant, terrifying",,,,,,,,,,,,,,,,,,
burn,jealousy,5,1998,FIC,Bk:EchoDarkness,,,,"so earlier? "" Marcus felt Arrias eyes fixed on him like hot coals, burning with jealousy. He wondered fleetingly what punishment the slave girl would receive at Arrias",,,,,,,,,,,,,,,,,,
burn,jealousy,6,1996,FIC,KenyonRev,,,,". He imagined Felicia's new man, naked and upside down. And he burned with jealousy. Yet Anita was so resolved to go around the world that he",,,,,,,,,,,,,,,,,,
