name,label,hasLemma
LexicalUnit_8574,['vaccination plan.n'],['vaccination plan.n']
LexicalUnit_5431,['jog.v'],['jog.v']
LexicalUnit_7973,['suture.n'],['suture.n']
LexicalUnit_4072,['anti-gun ideology.n'],['anti-gun ideology.n']
LexicalUnit_2318,['twist.v'],['twist.v']
LexicalUnit_3963,['archipelago.n'],['archipelago.n']
LexicalUnit_4509,['jocularity.n'],['jocularity.n']
LexicalUnit_6421,['despairing.a'],['despairing.a']
LexicalUnit_895,['bureaucratic.a'],['bureaucratic.a']
LexicalUnit_7889,['hellhole.n'],['hellhole.n']
LexicalUnit_3757,['tow.v'],['tow.v']
LexicalUnit_5180,['cherish.v'],['cherish.v']
LexicalUnit_936,['Sunday.n'],['Sunday.n']
LexicalUnit_6858,['safeguard.v'],['safeguard.v']
LexicalUnit_6881,['crack.v down'],['crack.v down']
LexicalUnit_4156,['gun show loophole.n'],['gun show loophole.n']
LexicalUnit_4519,['drool.v'],['drool.v']
LexicalUnit_3465,['burn.v to the ground.n'],['burn.v to the ground.n']
LexicalUnit_5936,['tremble.v'],['tremble.v']
LexicalUnit_793,['outside.prep'],['outside.prep']
LexicalUnit_6681,['plastic container.n'],['plastic container.n']
LexicalUnit_6287,['descend.v'],['descend.v']
LexicalUnit_2107,['handgun crime.n'],['handgun crime.n']
LexicalUnit_4668,['asymptomatic.a'],['asymptomatic.a']
LexicalUnit_7453,['2nd Amendment right.n'],['2nd Amendment right.n']
LexicalUnit_3912,['high-stakes bet.n'],['high-stakes bet.n']
LexicalUnit_8675,['steer.v'],['steer.v']
LexicalUnit_967,['epidermoid cell carcinoma.n'],['epidermoid cell carcinoma.n']
LexicalUnit_3717,['smoked.a'],['smoked.a']
LexicalUnit_4842,['enviousness.n'],['enviousness.n']
LexicalUnit_7835,['stifle.v'],['stifle.v']
LexicalUnit_4504,['humour.n'],['humour.n']
LexicalUnit_3240,['bloated.a'],['bloated.a']
LexicalUnit_1478,['protein subunit vaccine.n'],['protein subunit vaccine.n']
LexicalUnit_3564,['fix.v'],['fix.v']
LexicalUnit_8975,['climate-induced wildfire.n'],['climate-induced wildfire.n']
LexicalUnit_552,['middle.n'],['middle.n']
LexicalUnit_4241,['glee.n'],['glee.n']
LexicalUnit_8840,['well-heeled.a'],['well-heeled.a']
LexicalUnit_3778,['fossil fuel extraction.n'],['fossil fuel extraction.n']
LexicalUnit_4069,['gun control doctrine.n'],['gun control doctrine.n']
LexicalUnit_6043,['mysterious.a'],['mysterious.a']
LexicalUnit_4624,['enlarged.a'],['enlarged.a']
LexicalUnit_7813,['tsar.n'],['tsar.n']
LexicalUnit_7949,['operate.v'],['operate.v']
LexicalUnit_6405,['someone.n'],['someone.n']
LexicalUnit_2291,['final felling.n'],['final felling.n']
LexicalUnit_5743,['accident.n'],['accident.n']
LexicalUnit_62,['proponent.n'],['proponent.n']
LexicalUnit_3713,['pickling.n'],['pickling.n']
LexicalUnit_3881,['future.n'],['future.n']
LexicalUnit_4589,['impure.a'],['impure.a']
LexicalUnit_8639,['wreckage.n'],['wreckage.n']
LexicalUnit_8905,['disguise.n'],['disguise.n']
LexicalUnit_8757,['battleground.n'],['battleground.n']
LexicalUnit_1696,['blue.a'],['blue.a']
LexicalUnit_7654,['cologne.n'],['cologne.n']
LexicalUnit_7930,['endoscopic surgery.n'],['endoscopic surgery.n']
LexicalUnit_8148,['weed.v'],['weed.v']
LexicalUnit_2496,['dump.v'],['dump.v']
LexicalUnit_3583,['take to the air.v'],['take to the air.v']
LexicalUnit_2724,['daydream.n'],['daydream.n']
LexicalUnit_4302,['acupuncture.n'],['acupuncture.n']
LexicalUnit_1060,['black carbon aerosol.n'],['black carbon aerosol.n']
LexicalUnit_4633,['fattened.a'],['fattened.a']
LexicalUnit_6650,['sapling.n'],['sapling.n']
LexicalUnit_2673,['rhetoric.n of global warming'],['rhetoric.n of global warming']
LexicalUnit_281,['anxiously.adv'],['anxiously.adv']
LexicalUnit_2296,['crunch.n'],['crunch.n']
LexicalUnit_8474,['unemployment claims.n'],['unemployment claims.n']
LexicalUnit_5133,['tablecloth.n'],['tablecloth.n']
LexicalUnit_2278,['erode.v'],['erode.v']
LexicalUnit_8839,['weathliest.a'],['weathliest.a']
LexicalUnit_498,['sky-high.a'],['sky-high.a']
LexicalUnit_8157,['interwoven.a'],['interwoven.a']
LexicalUnit_8008,['survivor.n'],['survivor.n']
LexicalUnit_1050,['mitotic inhibitor.n'],['mitotic inhibitor.n']
LexicalUnit_3681,['spurt.v'],['spurt.v']
LexicalUnit_739,['throat.n'],['throat.n']
LexicalUnit_5881,['obstacle.n'],['obstacle.n']
LexicalUnit_3288,['aching.a'],['aching.a']
LexicalUnit_4009,['greed.n'],['greed.n']
LexicalUnit_1750,['rival.n'],['rival.n']
LexicalUnit_6782,['cessation.n'],['cessation.n']
LexicalUnit_699,['oar.v'],['oar.v']
LexicalUnit_2736,['ecological drought.n'],['ecological drought.n']
LexicalUnit_2466,['difficulties.n'],['difficulties.n']
LexicalUnit_5892,['go.v out'],['go.v out']
LexicalUnit_4291,['toxin.n'],['toxin.n']
LexicalUnit_7313,['restraint.n'],['restraint.n']
LexicalUnit_7544,['split.n'],['split.n']
LexicalUnit_989,['metastatic cascade.n'],['metastatic cascade.n']
LexicalUnit_5442,['lumber.v'],['lumber.v']
LexicalUnit_7783,['unvarying.a'],['unvarying.a']
LexicalUnit_2870,['economy.n'],['economy.n']
LexicalUnit_4012,['woeful.adj'],['woeful.adj']
LexicalUnit_7583,['slave-master.n'],['slave-master.n']
LexicalUnit_2617,['apportion.v'],['apportion.v']
LexicalUnit_3820,['ahead.adv'],['ahead.adv']
LexicalUnit_4467,['childhood.n'],['childhood.n']
LexicalUnit_7444,['look.v for.prep'],['look.v for.prep']
LexicalUnit_7424,['graduation requirement.n'],['graduation requirement.n']
LexicalUnit_3651,['flow.v'],['flow.v']
LexicalUnit_299,['restless.a'],['restless.a']
LexicalUnit_1196,['citrusy.a'],['citrusy.a']
LexicalUnit_3404,['scared.a'],['scared.a']
LexicalUnit_8680,['trolley.v'],['trolley.v']
LexicalUnit_4124,['gun control politics.n'],['gun control politics.n']
LexicalUnit_278,['anxiety.n'],['anxiety.n']
LexicalUnit_1762,['scrimmage.n'],['scrimmage.n']
LexicalUnit_3682,['squirt.v'],['squirt.v']
LexicalUnit_4288,['torture.n'],['torture.n']
LexicalUnit_8946,['boondocks.n'],['boondocks.n']
LexicalUnit_1410,['global warming mitigation tactic.n'],['global warming mitigation tactic.n']
LexicalUnit_4769,['insensitivity.n'],['insensitivity.n']
LexicalUnit_1582,['jacket.n'],['jacket.n']
LexicalUnit_3153,['ethical consumption.n'],['ethical consumption.n']
LexicalUnit_8213,['thief.n'],['thief.n']
LexicalUnit_123,['emission factor.n'],['emission factor.n']
LexicalUnit_2312,['squish.v'],['squish.v']
LexicalUnit_2571,['palliative.n'],['palliative.n']
LexicalUnit_1723,['reassuring.a'],['reassuring.a']
LexicalUnit_7514,['stride.n'],['stride.n']
LexicalUnit_7857,['supercell thunderstorm.n'],['supercell thunderstorm.n']
LexicalUnit_7497,['jog.v'],['jog.v']
LexicalUnit_8401,['intrusion.n'],['intrusion.n']
LexicalUnit_4816,['whiz.n'],['whiz.n']
LexicalUnit_2012,['dauntless.a'],['dauntless.a']
LexicalUnit_5622,['turn.v'],['turn.v']
LexicalUnit_7686,['even.a'],['even.a']
LexicalUnit_1536,['global warming scientist.n'],['global warming scientist.n']
LexicalUnit_3235,['troll.n'],['troll.n']
LexicalUnit_6425,['negativist.n'],['negativist.n']
LexicalUnit_4704,['turberculosis.n'],['turberculosis.n']
LexicalUnit_4636,['mushroom.v'],['mushroom.v']
LexicalUnit_644,['barnacle.n'],['barnacle.n']
LexicalUnit_2782,['earthquake swarm.n'],['earthquake swarm.n']
LexicalUnit_4053,['guide.v'],['guide.v']
LexicalUnit_1450,['free travel.n'],['free travel.n']
LexicalUnit_1569,['cardigan.n'],['cardigan.n']
LexicalUnit_6362,['untroubled.a'],['untroubled.a']
LexicalUnit_7390,['lumpiness.n'],['lumpiness.n']
LexicalUnit_3347,['chiffon.n'],['chiffon.n']
LexicalUnit_5813,['ma.n'],['ma.n']
LexicalUnit_94,['trapdoor.n'],['trapdoor.n']
LexicalUnit_8386,['rehabilitate.v'],['rehabilitate.v']
LexicalUnit_395,['avoidance.n'],['avoidance.n']
LexicalUnit_6211,['fatter.a'],['fatter.a']
LexicalUnit_6829,['restart.v'],['restart.v']
LexicalUnit_3141,['environmental steward.n'],['environmental steward.n']
LexicalUnit_4928,['truck.n'],['truck.n']
LexicalUnit_2065,['ecocriminal.n'],['ecocriminal.n']
